Name	IATA	ICAO
Air Bangladesh	B9	BGD
British Airways	BA	BAW
Seaborne Airlines	BB	SBS
Skymark Airlines	BC	SKY
bmi	BD	BMA
Flybe	BE	BEE
Aero-Service	BF	RSR
Biman Bangladesh Airlines	BG	BBC
Hawkair	BH	
Royal Brunei Airlines	BI	RBA
Nouvel Air Tunisie	BJ	LBT
Potomac Air	BK	PDC
Jetstar Pacific	BL	PIC
Air Sicilia	BM	
Horizon Airlines	BN	HZA
Air Botswana	BP	BOT
Buquebus Líneas Aéreas	BQ	BQB
EVA Air	BR	EVA
British International Helicopters	BS	BIH
Air Baltic	BT	BTI
Baikotovitchestrian Airlines 	BU	BUU
Blue Panorama Airlines	BV	BPA
Caribbean Airlines	BW	BWA
Air Busan	BX	ABL
Thomsonfly	BY	TOM
Black Stallion Airways	BZ	BSA
Centralwings	C0	CLW
CanXpress	C1	CA1
CanXplorer	C2	CAP
Contact Air	C3	KIS
QatXpress	C3	QAX
LionXpress	C4	LIX
CommutAir	C5	UCA
Sky Wing Pacific	C7	CR7
Cirrus Airlines	C9	RUS
Air China Cargo	CA	CAO
Air China	CA	CCA
CCML Airlines	CB	CCC
Air Atlanta Icelandic	CC	ABD
Macair Airlines	CC	MCK
Nationwide Airlines	CE	NTW
City Airline	CF	SDR
Airlines PNG	CG	TOK
Bemidji Airlines	CH	BMJ
China Airlines	CI	CAL
China Airlines Cargo	CI	CAL
BA CityFlyer	CJ	CFE
Lufthansa CityLine	CL	CLH
Copa Airlines	CM	CMP
Canadian National Airways	CN	YCP
Continental Airlines	CO	COA
Continental Express	CO	
Canadian Airlines	CP	CDN
Compass Airlines	CP	CPZ
SOCHI AIR	CQ	KOL
Continental Micronesia	CS	CMI
Alitalia Cityliner	CT	\N
Cubana de Aviación	CU	CUB
Air Chathams	CV	CVA
Air Marshall Islands	CW	CWM
Cathay Pacific	CX	CPA
Cathay Pacific Cargo	CX	CPA
Cyprus Airways	CY	CYP
China Southern Airlines	CZ	CSN
DHL Air UK	D0	DHK
Domenican Airlines	D1	MDO
Daallo Airlines	D3	DAO
Interair South Africa	D6	ILN
AirAsia X	D7	XAX
Djibouti Airlines	D8	DJB
Aeroflot-Don	D9	DNV
Dana Air	DA	\N
Brit Air	DB	BZH
Golden Air	DC	GAO
Nok Air	DD	NOK
Condor Flugdienst	DE	CFG
Michael Airlines	DF	MJG
South East Asian Airlines	DG	SRQ
Dennis Sky	DH	DSY
dba	DI	BAG
Eastland Air	DK	ELA
Delta Air Lines	DL	DAL
Maersk	DM	
Senegal Airlines	DN	SGG
Dominicana de Aviaci	DO	DOA
First Choice Airways	DP	FCA
Coastal Air	DQ	
Air Mediterranee	DR	BIE
EasyJet (DS)	DS	\N
TAAG Angola Airlines	DT	DTA
Scat Air	DV	VSV
DAT Danish Air Transport	DX	DTR
Norwegian Air Shuttle	DY	NAX
Starline.kz	DZ	\N
Usa Sky Cargo	E1	ES2
Domodedovo Airlines	E3	DMO
Elysian Airlines	E4	GIE
Air Arabia Egypt	E5	RBG
Compagnie Africaine d\\'Aviation	E9	\N
European Air Express	EA	EAL
Avialeasing Aviation Company	EC	TWN
Airblue	ED	ABQ
Far Eastern Air Transport	EF	EFA
Japan Asia Airways	EG	JAA
Aer Lingus	EI	EIN
New England Airlines	EJ	NEA
Emirates	EK	UAE
Emirates SkyCargo	EK	UAE
Air Nippon	EL	ANK
Aero Benin	EM	AEB
Air Dolomiti	EN	DLA
Express One International	EO	LHN
Iran Aseman Airlines	EP	IRC
TAME	EQ	TAE
Fly Europa	ER	RWW
EuropeSky	ES	EUV
Ethiopian Airlines	ET	ETH
Empresa Ecuatoriana De Aviacion	EU	EEA
Atlantic Southeast Airlines	EV	ASQ
Eurowings	EW	EWG
Etihad Airways	EY	ETD
Evergreen International Airlines	EZ	EIA
Fly Brasil	F1	FBL
Flybaboo	F7	BBO
Air2there	F8	\N
Frontier Airlines	F9	FFT
Epic Holiday	FA	4AA
Bulgaria Air	FB	LZB
Finncomm Airlines	FC	WBA
Thai AirAsia	FD	AIQ
Ariana Afghan Airlines	FG	AFG
FlyHigh Airlines Ireland (FH)	FH	FHI
Icelandair	FI	ICE
Air Pacific	FJ	FJI
Africa West	FK	WTA
AirTran Airways	FL	TRS
Shanghai Airlines	FM	CSH
Regional Airlines	FN	
Airlines Of Tasmania	FO	ATM
Freedom Air	FP	FRE
Thomas Cook Airlines	FQ	TCW
Ryanair	FR	RYR
Servicios de Transportes A	FS	STU
Siem Reap Airways	FT	SRH
Felix Airways	FU	FXX
Rossiya-Russian Airlines	FV	SDM
Ibex Airlines	FW	IBX
FedEx Express	FX	FDX
Firefly	FY	FFM
Fly Dubai	FZ	FDB
Ghana International Airlines	G0	GHB
Indya Airline Group	G1	IG1
City Connexion Airlines	G3	CIX
Gol Transportes Aéreos	G3	GLO
Sky Express	G3	SEH
Allegiant Air	G4	AAY
Huaxia	G5	\N
Air Volga	G6	\N
GoJet Airlines	G7	GJS
Go Air	G8	GOW
Air Arabia	G9	ABY
Garuda Indonesia	GA	GIA
BRAZIL AIR	GB	BZE
TransAsia Airways	GE	TNA
Gulf Air Bahrain	GF	GBA
Air Guyane	GG	GUY
Globus	GH	GLP
Itek Air	GI	IKA
Eurofly Service	GJ	EEU
Genesis	GK	\N
Air Greenland	GL	GRL
German International Air Lines	GM	GER
GNB Linhas Aereas	GN	\N
Kuzu Airlines Cargo	GO	KZU
Gadair European Airlines	GP	GDR
Aurigny Air Services	GR	AUR
Air Foyle	GS	UPA
GB Airways	GT	GBL
Aero Flight	GV	ARF
Kuban Airlines	GW	KIL
Gabon Airlines	GY	GBK
Air Rarotonga	GZ	RAR
Hankook Air US	H1	HA1
Sky Airline	H2	SKU
Harbour Air (Priv)	H3	\N
I-Fly	H5	RSY
Hageland Aviation Services	H6	HAG
Eagle Air	H7	
Dalavia	H8	KHB
PEGASUS AIRLINES-	H9	\N
Hawaiian Airlines	HA	HAL
Himalayan Airlines	HC	HYM
Hokkaido International Airlines	HD	ADO
Luftfahrtgesellschaft Walter	HE	LGW
Hapagfly	HF	HLF
Niki	HG	NLY
Air Hamburg (AHO)	HH	AHO
Papillon Grand Canyon Helicopters	HI	\N
Yangon Airways	HK	\N
Air Seychelles	HM	SEY
Hankook Airline	HN	HNX
Juneyao Airlines	HO	DKH
America West Airlines	HP	AWE
China United Airlines	HR	CUA
Hellenic Imperial Airways	HT	IMP
Hainan Airlines	HU	CHH
Transavia Holland	HV	TRA
Hello	HW	FHE
Hong Kong Airlines	HX	CRK
Uzbekistan Airways	HY	UZB
Sat Airlines	HZ	SOZ
Iberia Express	I2	IBS
Indonesia Sky	I5	IDS
MexicanaLink	I6	MXI
Paramount Airways	I7	PMW
IzAvia	I8	\N
Air Italy	I9	AEY
Indigo	I9	IBU
Iraqi Airways	IA	IAW
Iberia Airlines	IB	IBE
Indian Airlines	IC	IAC
Interlink Airlines	ID	ITK
Solomon Airlines	IE	SOL
Islas Airways	IF	ISW
Meridiana	IG	ISS
LSM International 	II	UWW
Imair Airlines	IK	ITX
MAT Macedonian Airlines	IN	MAK
Indonesian Airlines	IO	IAA
Island Spirit	IP	ISX
Augsburg Airways	IQ	AUB
Iran Air	IR	IRA
Iran Air Cargo	IR	IRA
Island Airlines	IS	
Kingfisher Airlines	IT	KFR
Wind Jet	IV	JET
Wings Air	IW	WON
Air India Express	IX	AXB
Yemenia	IY	IYE
Arkia Israel Airlines	IZ	AIZ
Azerbaijan Airlines	J2	AHY
Northwestern Air	J3	PLR
ALAK	J4	\N
Alaska Seaplane Service	J5	\N
Denim Air 	J7	\N
Berjaya Air	J8	BVT
Jazeera Airways	J9	JZR
Air Bosna	JA	BON
Helijet	JB	JBA
JAL Express	JC	JEX
Japan Air System	JD	JAS
Mango	JE	MNO
Jetairfly	JF	JAF
Fuji Dream Airlines	JH	\N
Midway Airlines	JI	MDW
TAM Brazilian Airlines	JJ	TAM
Spanair	JK	JKK
Japan Airlines	JL	JAL
Japan Airlines Domestic	JL	JAL
Air Jamaica	JM	AJM
Excel Airways	JN	XLA
JALways	JO	JAZ
Adria Airways	JP	ADR
Jetstar Airways	JQ	JST
Joy Air	JR	JOY
Air Koryo	JS	KOR
Lion Mentari Airlines	JT	LNI
Jat Airways	JU	JAT
Bearskin Lake Air Service	JV	BLS
Arrow Air	JW	APW
Jusur airways	JX	JSR
Aereonautica militare	JY	AXZ
Skyways Express	JZ	SKX
Kostromskie avialinii	K1	KOQ
Eurolot	K2	ELO
SeaPort Airlines	K5	SQH
Cambodia Angkor Air (K6)	K6	\N
KoralBlue Airlines	K7	KBR
Zambia Skyways	K8	\N
Dragonair	KA	HDA
Druk Air	KB	DRK
Air Astana	KC	KZR
KD Avia	KD	KNI
Korean Air	KE	KAL
Korean Air Cargo	KE	KAL
Blue1	KF	BLF
Royal Airways	KG	RAW
Kharkiv Airlines	KH	KHK
Adam Air	KI	DHI
British Mediterranean Airways	KJ	LAJ
Atlasjet	KK	KKK
KLM Royal Dutch Airlines	KL	KLM
Air Malta	KM	AMC
China United	KN	\N
Alaska Central Express	KO	AER
Kenya Airways	KQ	KQA
Comores Airlines	KR	CWK
Peninsula Airways	KS	PEN
VickJet	KT	VKJ
Kuwait Airways	KU	KAC
Kavminvodyavia	KV	MVD
Carnival Air Lines	KW	\N
Cayman Airways	KX	CAY
KSY	KY	KSY
All Argentina	L1	AL1
LTU Austria	L3	LTO
Luchsh Airlines 	L4	LJJ
Lufttransport	L5	LTR
Mauritania Airlines International	L6	MAI
Lugansk Airlines	L7	\N
Line Blue	L8	LBL
All Asia	L9	AL3
LAN Airlines	LA	LAN
Air Costa	LB	\N
Varig Log	LC	VLO
FlyNordic	LF	NDC
Luxair	LG	LGL
Lufthansa	LH	DLH
Lufthansa Cargo	LH	GEC
Leeward Islands Air Transport	LI	LIA
Jin Air	LJ	JNA
Air Luxor	LK	LXR
Linhas A	LM	LAM
Libyan Arab Airlines	LN	LAA
LOT Polish Airlines	LO	LOT
LAN Peru	LP	LPE
LCM AIRLINES	LQ	LMM
LACSA	LR	LRC
Jet2.com	LS	EXS
LTU International	LT	LTU
LAN Express	LU	LXP
Albanian Airlines	LV	LBC
Pacific Wings	LW	NMI
El Al Israel Airlines	LY	ELY
Balkan Bulgarian Airlines	LZ	
Maryland Air	M1	M1F
MHS Aviation GmbH	M2	\N
ABSA - Aerolinhas Brasileiras	M3	TUS
Marysya Airlines	M4	1QA
Kenmore Air	M5	KEN
MasAir	M7	MAA
Motor Sich	M9	MSI
Malév	MA	MAH
MNG Airlines	MB	MNB
Air Madagascar	MD	MDG
Middle East Airlines	ME	MEA
Xiamen Airlines	MF	CXA
Malaysia Airlines	MH	MAS
MASkargo	MH	MAS
SilkAir	MI	SLK
L	MJ	LPR
Air Mauritius	MK	MAU
Maldivo Airlines	ML	MAV
Peach Aviation	MM	\N
Comair	MN	CAW
Abu Dhabi Amiri Flight	MO	AUH
Martinair	MP	MPH
American Eagle Airlines	MQ	EGF
Homer Air	MR	OME
Egyptair	MS	MSR
Thomas Cook Airlines	MT	TCX
China Eastern Airlines	MU	CES
Maya Island Air	MW	MYD
Mexicana de Aviaci	MX	MXA
Midwest Airlines (Egypt)	MY	MWA
Merpati Nusantara Airlines	MZ	MNA
Norte Lineas Aereas	N0	\N
N1	N1	\N
Regionalia México	N4	J88
Skagway Air Service	N5	SGY
All Spain	N7	N77
National Air Cargo	N8	NCR
All Europe	N9	N99
Al-Naser Airlines	NA	\N
Sterling Airlines	NB	SNB
National Jet Systems	NC	NJS
SkyEurope	NE	ESK
Air Vanuatu	NF	AVN
Lauda Air	NG	LDA
All Nippon Airways	NH	ANA
Portugalia	NI	PGA
Nordic Global Airlines	NJ	NGB
Spirit Airlines	NK	NKS
Shaheen Air International	NL	SAI
Air Madrid	NM	DRD
VIM Airlines	NN	MOV
Nile Air	NP	NIA
Air Japan	NQ	AJX
Jettor Airlines	NR	JTO
Nederlandse Spoorwegen	NS	\N
Binter Canarias	NT	IBB
Japan Transocean Air	NU	JTA
Northwest Airlines	NW	NWA
Air Macau	NX	AMU
Air Iceland	NY	FXI
Air New Zealand	NZ	ANZ
Orbit Airlines Azerbaijan	O1	OAB
Oceanic Airlines	O2	
Oceanair	O6	ONE
Ozjet Airlines	O7	OZJ
Oasis Hong Kong Airlines	O8	OHK
Olympic Airlines	OA	OAL
Astrakhan Airlines	OB	ASZ
Catovair	OC	\N
Malindo Air	OD	MXD
Air Finland	OF	FIF
AirOnix	OG	\N
Comair	OH	COM
Orchid Airlines	OI	ORC
Overland Airways	OJ	OLA
Czech Airlines	OK	CSA
Ostfriesische Lufttransport	OL	OLT
MIAT Mongolian Airlines	OM	MGL
Nauru Air Corporation	ON	RON
SkyWest	OO	SKW
Chongqing Airlines	OQ	CQN
TUI Airlines	OR	TFL
Austrian Airlines	OS	AUA
Aeropelican Air Services	OT	PEL
Croatia Airlines	OU	CTN
Estonian Air	OV	ELL
Orient Thai Airlines	OX	OEA
Omni Air International	OY	OAE
Asiana Airlines	OZ	AAR
Proflight Commuter Services	P0	
Patriot Airways	P4	\N
AeroRep	P5	RPB
Regional Paraguaya	P7	REP
Air Mekong	P8	MKG
Peruvian Airlines	P9	\N
Parmiss Airlines (IPV)	PA	IPV
Pegasus Airlines	PC	PGT
Porter Airlines	PD	POE
Air Europe	PE	AEL
Primera Air	PF	\N
Bangkok Airways	PG	BKP
Polynesian Airlines	PH	PAO
Piedmont Airlines (1948-1989)	PI	PDT
Air Saint Pierre	PJ	SPM
Pakistan International Airlines	PK	PIA
Aeroper	PL	PLI
Tropic Air	PM	TOS
West Air China	PN	CHB
FlyPortugal	PO	FPT
Air Indus	PP	AI0
LSM Airlines	PQ	LOO
Philippine Airlines	PR	PAL
Ukraine International Airlines	PS	AUI
Red Jet Andes	PT	\N
PLUNA	PU	PUA
PAN Air	PV	PNR
Precision Air	PW	PRF
Air Niugini	PX	ANG
Surinam Airways	PY	SLM
TAM Mercosur	PZ	LAP
Maldivian	Q2	\N
SOCHI AIR CHATER	Q3	QER
40-Mile Air	Q5	MLA
Aero Condor Peru	Q6	CDP
Pacific East Asia Cargo Airlines	Q8	PEC
Arik Niger	Q9	NAK
Click (Mexicana)	QA	\N
Georgian National Airlines	QB	GFG
Camair-co	QC	\N
Dobrolet	QD	DOB
Qantas	QF	QFA
Citilink Indonesia	QG	\N
Air Florida	QH	FLZ
Cimber Air	QI	CIM
Jet Airways	QJ	
Air Canada Jazz	QK	JZA
Aero Lanka	QL	RLN
Air Malawi	QM	AML
Origin Pacific Airways	QO	OGN
Alliance Airlines	QQ	UTY
Qatar Airways	QR	QTR
Qatar Airways Cargo	QR	QTR
Travel Service	QS	TVS
TAMPA	QT	TPA
East African	QU	UGX
Lao Airlines	QV	LAO
Blue Wings	QW	BWG
Horizon Air	QX	QXE
Red Jet Canada	QY	\N
Indonesia AirAsia	QZ	AWQ
Orenburg Airlines	R2	ORB
Aircompany Yakutia	R3	SYL
Rossiya	R4	
Malta Air Charter	R5	MAC
RACSA	R6	
Aserca Airlines	R7	OCA
AirRussia	R8	RRJ
Nepal Airlines	RA	RNA
Royal Nepal Airlines	RA	RNA
Syrian Arab Airlines	RB	SYR
Atlantic Airways	RC	FLI
Ryan International Airlines	RD	RYN
Aer Arann	RE	REA
Florida West International Airways	RF	FWL
VRG Linhas Aereas	RG	VRN
Republic Express Airlines	RH	RPH
Mandala Airlines	RI	MDL
Royal Jordanian	RJ	RJA
Air Afrique	RK	RKA
Royal Falcon	RL	RFJ
Rainbow Air US	RM	RNY
Rainbow Air (RAI)	RN	RAB
Tarom	RO	ROT
Chautauqua Airlines	RP	CHQ
Kam Air	RQ	KMF
Sky Regional	RS	\N
Rainbow Air Euro	RU	RUE
Caspian Airlines	RV	CPN
Republic Airlines	RW	RPA
Rainbow Air Polynesia	RX	RPO
Rainbow Air Canada	RY	RAY
Euro Exec Express	RZ	
Spike Airlines	S0	SAL
Serbian Airlines	S1	SA1
Air Sahara	S2	RSH
Santa Barbara Airlines	S3	BBR
SATA International	S4	RZO
Shuttle America	S5	TCF
Salmon Air	S6	\N
S7 Airlines	S7	SBI
Snowbird Airlines	S8	SBD
Starbow Airlines	S9	\N
South African Airways	SA	SAA
Air Caledonie International	SB	ACI
Shandong Airlines	SC	CDG
Sudan Airways	SD	SUD
XL Airways France	SE	SEU
Spicejet	SG	SEJ
Sharp Airlines	SH	SHA
Skynet Airlines	SI	SIH
Sriwijaya Air	SJ	SJY
Scandinavian Airlines System	SK	SAS
Thai Lion Air	SL	\N
Spirit of Manila Airlines	SM	MNP
Brussels Airlines	SN	DAT
Salsa d'Haiti	SO	SLC
SATA Air Acores	SP	SAT
Singapore Airlines	SQ	SIA
Singapore Airlines Cargo	SQ	SQC
Swissair	SR	SWR
Corsairfly	SS	CRL
Germania	ST	GMI
Aeroflot Russian Airlines	SU	AFL
Saudi Arabian Airlines	SV	SVA
Air Namibia	SW	NMB
SkyWork Airlines 	SX	\N
Sun Country Airlines	SY	SCX
Salzburg arrows	SZ	\N
TACA Peru	T0	\N
Thai Air Cargo	T2	TCG
Eastern Airways	T3	EZE
Hellas Jet	T4	HEJ
Turkmenistan Airlines	T5	TUA
Trans Pas Air	T6	TP6
Twin Jet	T7	TJT
Grupo TACA	TA	TAT
TrasBrasil	TB	TBZ
Air Tanzania	TC	ATC
Atlantis European Airways	TD	LUR
FlyLal	TE	LIL
Malmö Aviation	TF	SCW
Thai Airways International	TG	THA
TransBrasil Airlines	TH	THS
TransHolding	TI	THI
T.J. Air	TJ	TJA
Turkish Airlines	TK	THY
Turkish Airlines Cargo	TK	THY
Airnorth	TL	ANO
Trans Mediterranean Airlines	TL	TMA
Air Mozambique	TM	\N
Air Tahiti Nui	TN	THT
Transavia France	TO	TVF
TAP Portugal	TP	TAP
Texas Wings	TQ	TXW
Tiger Airways	TR	TGW
Air Transat	TS	TSC
Tiger Airways Australia	TT	TGW
Tunisair	TU	TAR
Virgin Express	TV	VEX
Tway Airlines	TW	TWB
Air Caraïbes	TX	FWI
Iberworld	TY	IWD
Scoot	TZ	SCO
Aviabus	U1	ABI
easyJet	U2	EZY
Avies	U3	AIA
PMTair	U4	PMT
USA3000 Airlines	U5	GWY
Ural Airlines	U6	SVR
Northern Dene Airways	U7	
Armavia	U8	RNV
Tatarstan Airlines	U9	TAK
United Airlines	UA	UAL
Myanma Airways	UB	UBA
LATAM Cargo Chile	UC	LCO
Hex'Air	UD	HER
Nasair	UE	NAS
UM Airlines	UF	UKM
Tuninter	UG	TUI
US Helicopter Corporation	UH	
Eurocypria Airlines	UI	ECA
AlMasria Universal Airlines	UJ	LMU
SriLankan Airlines	UL	ALK
Air Zimbabwe	UM	AZW
Transaero Airlines	UN	TSO
Hong Kong Express Airways	UO	HKE
Bahamasair	UP	BHS
Skyjet Airlines	UQ	SJU
UTair-Express	UR	\N
US Airways	US	USA
UTair Aviation	UT	UTA
Air Austral	UU	REU
Air Europa	UX	AEA
El-Buraq Air Transport	UZ	BRQ
Conviasa	V0	VCV
Vision Airlines (V2)	V2	RBY
Carpatair	V3	KRP
Danube Wings (V5)	V5	\N
VIP Ecuador	V6	\N
ATRAN Cargo Airlines	V8	VAS
Star1 Airlines	V9	HCW
Virgin Australia	VA	VOZ
Strategic Airlines	VC	\N
Air Libert	VD	
Volare Airlines	VE	VLE
Valuair	VF	VLU
VLM Airlines	VG	VLM
Virgin Pacific	VH	VNP
Volga-Dnepr Airlines	VI	VDA
Royal Air Cambodge	VJ	RAC
Virgin Nigeria Airways	VK	VGN
Air VIA	VL	VIM
Vietnam Airlines	VN	HVN
Tyrolean Airways	VO	TYR
VASP	VP	VSP
Viking Hellas	VQ	VKH
TACV	VR	TCV
Virgin Atlantic Airways	VS	VIR
Air Tahiti	VT	VTA
Air Ivoire	VU	VUN
Aerosvit Airlines	VV	AEW
Aeromar	VW	TAO
Virgin America	VX	VRD
Formosa Airlines	VY	FOS
Vueling Airlines	VY	VLG
MyTravel Airways	VZ	MYT
World Experience Airline	W1	WE1
Maastricht Airlines	W2	\N
AeroWorld 	W4	WER
Mahan Air	W5	IRM
Wizz Air	W6	WZZ
Austral Brasil	W7	\N
Air Bagan	W9	JAB
KLM Cityhopper	WA	KLC
Western Airlines	WA	WAL
Rwandair Express	WB	RWD
Islena De Inversiones	WC	ISV
Amsterdam Airlines	WD	AAN
Widerøe	WF	WIF
Sunwing	WG	\N
China Northwest Airlines (WH)	WH	\N
WebJet Linhas A	WJ	WEB
Edelweiss Air	WK	EDW
Windward Islands Airways	WM	\N
Southwest Airlines	WN	SWA
World Airways	WO	WOA
Island Air (WP)	WP	MKU
PanAm World Airways	WQ	PQW
WestJet	WS	WJA
Wizz Air Ukraine	WU	WAU
Swe Fly	WV	SWV
bmibaby	WW	BMI
CityJet	WX	BCY
Oman Air	WY	OMA
Red Wings	WZ	RWZ
TUIfly	X3	HLX
XAIR USA	XA	XAU
NEXT Brasil	XB	NXB
ExpressJet	XE	BTA
Vladivostok Air	XF	VLK
Calima Aviacion	XG	CLI
Mesaba Airlines	XJ	MES
Corse-Mediterranee	XK	CCM
Aerolane	XL	LNE
Alitalia Express	XM	SMX
Xpressair	XN	\N
LTE International Airways	XO	LTE
XPTO	XP	XPT
SunExpress	XQ	SXS
Skywest Australia	XR	\N
Air Exel	XT	AXL
BVI Airways	XV	\N
Sky Express	XW	SXR
Greenfly	XX	GFY
